City/Town,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Admin Role
Huntsville,Huntsville High School,AL,US,2018-03-14,,,,,,,students,,1,walkout,0,0,0,0,0,1,http://whnt.com/2018/03/14/huntsville-city-school-students-walk-out-to-end-school-violence/,,,,"""Huntsville City Schools officials had said their students would not be participating in unorganized walkouts."""
Huntsville,Lee High School,AL,US,2018-03-14,,,,,,,students,,1,walkout,0,0,0,0,0,1,http://whnt.com/2018/03/14/huntsville-city-school-students-walk-out-to-end-school-violence/,,,,"""Huntsville City Schools officials had said their students would not be participating in unorganized walkouts."""
Mobile,Baker High School,AL,US,2018-03-14,hundreds,200,,200,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.wkrg.com/news/mobile-county/hundreds-march-in-solidarity-at-baker-high-school/1045090294,,,,
Bentonville,Bentonville High School,AR,US,2018-03-14,about 400,400,,400,,,students,,1,walkout,0,0,0,0,1,1,http://www.arkansasmatters.com/news/local-news/parent-students-paddled-after-participating-in-walkout/1049088398,,,,
Centerton,Bentonville West High School,AR,US,2018-03-14,another 200,200,,200,,,students,,1,walkout,0,0,0,0,1,1,https://twitter.com/a_renee2019/status/973949905248116736?s=09,http://www.arkansasmatters.com/news/local-news/parent-students-paddled-after-participating-in-walkout/1049088398,,,
Conway,Conway High School,AR,US,2018-03-14,about 60,60,,60,,,students,,1,walkout,0,0,0,0,1,1,form,,,includes 50 from HS and 10 from MS,
Fayetteville ,Fayetteville High School,AR,US,2018-03-14,estimated 1000,1000,,1000,,,students,,1,walkout; march,0,0,0,0,1,1,http://www.arkansasonline.com/news/2018/mar/15/arkansas-kids-join-walkout-20180315/?page=4,,,1000 on walkout of whom 400 went on march,
Fort Smith,Belle Point New Tech Academy,AR,US,2018-03-14,,,,,,,students,,1,walkout,0,0,0,0,1,1,http://www.arkansasonline.com/news/2018/mar/15/arkansas-kids-join-walkout-20180315/?page=4,,,,
Fort Smith,Fort Smith Northside High,AR,US,2018-03-14,,,,,,,students,,1,walkout,0,0,0,0,0,1,http://www.arkansasonline.com/news/2018/mar/15/arkansas-kids-join-walkout-20180315/?page=4,,,,
Greenbrier,Greenbrier High School,AR,US,2018-03-14,na,3,,3,,,students,,1,walkout,0,3,0,0,1,1,https://www.thedailybeast.com/teens-face-corporal-punishment-in-rural-arkansas-for-participating-in-student-walkout,https://twitter.com/donnadb/status/977720909522964480,,,
Highlands ,Highland Middle School,AR,US,2018-03-15,,,,,,,students,,1,assembly,0,0,0,0,1,1,http://www.kait8.com/story/37728659/highland-students-honor-florida-shooting-victims-with-assembly-rather-than-walkout,,,,"""Superintendent Don Sharp said he thought an assembly may be a better option."""
