store_name,storeid,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_group,stgrp_num,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,year_first,year_last,X,Y,method,match,dup,st_type,loc_id,store_name_l,store
Dollar General 14673,st_343407,2001,NW 13th St,NA,Gainesville,FL,32609,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-82.33905,29.67074,usda,NA,NA,CO,L204561,dollar general 14673,Dollar General
Dollar General 14675,st_363143,2399,US Highway 9,NA,Howell,NJ,7731,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,0,1,1,1,1,2015,2018,-74.24421,40.17968,usda,NA,NA,CO,L204562,dollar general 14675,Dollar General
Dollar General 14678,st_333438,384,Main St,NA,Williamstown,MA,1267,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-73.18865,42.70444,usda,NA,NA,CO,L204563,dollar general 14678,Dollar General
Dollar General 14679,st_342236,2100,Sullivant Ave,NA,Columbus,OH,43223,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-83.05515,39.94701,usda,NA,NA,CO,L204564,dollar general 14679,Dollar General
DOLLAR GENERAL 1468,st_002022,7680,49th St N,NA,Pinellas Park,FL,33781,Combination Grocery/Other,2,Small retail,4,1,1,1,1,1,1,1,1,1,1,1,2008,2018,-82.70013,27.84159,usda,NA,NA,CO,L204565,dollar general 1468,Dollar General
Dollar General 14680,st_343403,100,Eagle Drive,NA,Ness City,KS,67560,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-99.91184,38.40709,usda,NA,NA,CO,L204566,dollar general 14680,Dollar General
Dollar General 14682,st_332063,161,E Main St,NA,Milford,MA,1757,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-71.50492,42.15002,usda,NA,NA,CO,L204567,dollar general 14682,Dollar General
Dollar General 14683,st_334978,1100,Carver Rd,NA,Modesto,CA,95350,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-121.02195,37.6595,usda,NA,NA,CO,L014452,dollar general 14683,Dollar General
Dollar General 14684,st_335019,323,N Main St,NA,Livingston,CA,95334,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-120.72319,37.38704,usda,NA,NA,CO,L204568,dollar general 14684,Dollar General
Dollar General 14685,st_340951,6600,Hamilton Ave,NA,Cincinnati,OH,45224,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-84.54876,39.21387,usda,NA,NA,CO,L204569,dollar general 14685,Dollar General
Dollar General 14687,st_352697,1053,New Castle Rd,NA,Prospect,PA,16052,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-80.02528,40.90672,usda,NA,NA,CO,L204570,dollar general 14687,Dollar General
Dollar General 14688,st_335626,321,State Route 66,NA,Leechburg,PA,15656,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-79.60729,40.64189,usda,NA,NA,CO,L204571,dollar general 14688,Dollar General
DOLLAR GENERAL 1469,st_153369,5490,Hansel Ave,NA,Edgewood,FL,32809,Combination Grocery/Other,2,Small retail,4,1,1,1,1,1,1,1,1,1,1,1,2008,2018,-81.3707,28.48033,usda,NA,NA,CO,L204572,dollar general 1469,Dollar General
dollar General 14690,st_335770,808,Mercer Rd,NA,Beaver Falls,PA,15010,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-80.28743,40.79081,usda,NA,NA,CO,L204573,dollar general 14690,Dollar General
