CD,Cluster,Very low density,Low density,Medium density,High density,
CA-19,Urban-suburban mix,0.024078472,0.103068187,0.199140617,0.673712724,
CA-20,Urban-suburban mix,0.201748115,0.171049317,0.238579783,0.388622785,
CA-21,Rural-suburban mix,0.33002772,0.304560954,0.276540951,0.088870375,
CA-22,Dense suburban,0.142059434,0.210396114,0.502508543,0.145035909,
CA-23,Dense suburban,0.200152243,0.226963367,0.450716971,0.12216742,
CA-24,Sparse suburban,0.176213418,0.277463981,0.29321032,0.253112282,
CA-25,Dense suburban,0.122373689,0.21819064,0.489269289,0.170166382,
CA-26,Dense suburban,0.10699208,0.234948004,0.327145992,0.330913924,
CA-27,Urban-suburban mix,0.001298761,0.046273858,0.317393898,0.635033483,
CA-28,Pure urban,0.000755492,0.078844171,0.135579575,0.784820762,
CA-29,Pure urban,0.000205891,0.025957619,0.193343592,0.780492898,
CA-30,Urban-suburban mix,0.007387578,0.06446326,0.249450736,0.678698426,
CA-31,Dense suburban,0.007963084,0.163944641,0.556035079,0.272057196,
CA-32,Urban-suburban mix,0.001979019,0.067868049,0.309341591,0.620811341,
CA-33,Urban-suburban mix,0.027981688,0.139096206,0.167534162,0.665387944,
CA-34,Pure urban,0.000208298,0.015395991,0.086290648,0.898105063,
CA-35,Urban-suburban mix,0.00175584,0.122117427,0.476638625,0.399488109,
CA-36,Dense suburban,0.130414553,0.26657135,0.502314963,0.100699135,
CA-37,Pure urban,0,0.005620914,0.026467888,0.967911198,
CA-38,Pure urban,0,0.078487294,0.191186401,0.730326305,
CA-39,Dense suburban,0.002216131,0.162613609,0.493906809,0.341263452,
CA-40,Pure urban,0.000168935,0.012109798,0.102779126,0.884942141,
CA-41,Dense suburban,0.035180608,0.270007265,0.461889632,0.232922495,
CA-42,Sparse suburban,0.079342553,0.419869477,0.401800705,0.098987265,
CA-43,Pure urban,0,0,0.105680296,0.894319704,
CA-44,Pure urban,0.001557908,0.015924207,0.183336983,0.799180901,
CA-45,Urban-suburban mix,0.01038039,0.150326012,0.43647171,0.402821889,
CA-46,Pure urban,3.45005E-05,0.019009947,0.139887452,0.841068101,
CA-47,Pure urban,0.004012674,0.012601692,0.120130764,0.86325487,
CA-48,Urban-suburban mix,0.000643798,0.049742429,0.297763851,0.651849923,
CA-49,Dense suburban,0.057590185,0.180673283,0.500527287,0.261209245,
CA-50,Dense suburban,0.130165062,0.232750512,0.405552508,0.231531917,
CA-51,Urban-suburban mix,0.125930506,0.099827085,0.244584814,0.529657595,
CA-52,Urban-suburban mix,0.028288155,0.131892067,0.425584624,0.414235155,
CA-53,Urban-suburban mix,0.005056966,0.07525047,0.340160139,0.579532425,
CO-01,Urban-suburban mix,0.006037318,0.04931921,0.292407853,0.652235619,
CO-02,Sparse suburban,0.243060931,0.255802421,0.357052661,0.144083988,
CO-03,Pure rural,0.509305625,0.254422166,0.202455465,0.033816743,
CO-04,Rural-suburban mix,0.35652999,0.310557269,0.276835341,0.0560774,
CO-05,Dense suburban,0.207475763,0.204687997,0.471487923,0.116348317,
CO-06,Dense suburban,0.041569566,0.123118518,0.473971261,0.361340654,
CO-07,Dense suburban,0.01457822,0.169356474,0.548937731,0.267127576,
CT-01,Sparse suburban,0.045943224,0.465596867,0.296851398,0.191608511,
